id,birthY,gender,nationality,label
10333,1827,1,民國,鉅鏞戒演
10334,1827,1,民國,明校戒道
10335,1693,1,清,樂亭清耀
10336,1822,1,清,善淨清如
10337,1766,1,清,假庵通朗
10338,1825,1,清,利華光蓮
10339,1825,1,清,戒乘用修
10340,1825,1,清,益三用昭
10341,1827,1,民國,能輝定覺
10342,1827,1,民國,新山定圓
10343,1693,1,清,惟章顯然
10344,1775,1,清,渾容顯鏡
10345,1868,1,清 民國,惟寬顯徹
10346,1852,1,民國,明鏡顯寬
10347,1824,1,清,遂慶大願
10348,1825,1,清 民國,挹岑權仁
10349,1864,1,清 民國,雪參權義
10350,1845,1,清,法忍本心
10351,1868,1,民國,慧輪密詮
10352,1868,1,民國,永培密華
10353,1868,1,民國,欽峯密雨
10354,1864,1,民國,虛舟實清
10355,1904,1,清 民國,密松實淨
10356,1864,1,民國,逸溪實涵
10357,1844,1,清 民國,峰屏肇圓
10358,1572,1,明,寶雨德璩
10359,1567,1,明,宏泉清蔭
10360,1567,1,明,守泉照兼
10361,1543,1,明,慈音
10362,1552,1,明,雪庵海蓮
10363,1570,1,明,戒慧
10364,1558,1,明,香菴隆徑
10365,1558,1,清,明一
10366,1558,1,清,按指契穎
10367,1546,1,明,觀一海聞
10368,1571,1,明,妙圓如本
10369,1579,1,清,迥波隆
10370,1579,1,清,慎獨旋璣
